iteration, enemy_name, game_time(s), date, my_score, enemy_score, battle_result
0, CollegeFriends, 250, 2020-08-26T14:52:48+00:00, 15, 7, WIN
1, CollegeFriends, 250, 2020-08-26T14:58:11+00:00, 10, 8, WIN
2, CollegeFriends, 250, 2020-08-26T15:03:33+00:00, 14, 20, LOSE
3, CollegeFriends, 250, 2020-08-26T15:08:54+00:00, 12, 22, LOSE
4, CollegeFriends, 250, 2020-08-26T15:14:14+00:00, 10, 12, LOSE
5, CollegeFriends, 250, 2020-08-26T15:19:36+00:00, 13, 8, WIN
6, CollegeFriends, 250, 2020-08-26T15:25:00+00:00, 14, 12, WIN
7, CollegeFriends, 250, 2020-08-26T15:30:23+00:00, 13, 8, WIN
8, CollegeFriends, 250, 2020-08-26T15:35:46+00:00, 15, 7, WIN
9, CollegeFriends, 250, 2020-08-26T15:41:10+00:00, 14, 4, WIN
10, CollegeFriends, 250, 2020-08-26T15:46:33+00:00, 13, 10, WIN
11, CollegeFriends, 250, 2020-08-26T15:51:56+00:00, 11, 12, LOSE
12, CollegeFriends, 250, 2020-08-26T15:57:19+00:00, 14, 11, WIN
