iteration, enemy_name, game_time(s), date, my_score, enemy_score, battle_result
0, CollegeFriends, 250, 2020-09-06T10:45:33+00:00, 7, 1, WIN
1, CollegeFriends, 250, 2020-09-06T10:50:53+00:00, 16, 5, WIN
2, CollegeFriends, 250, 2020-09-06T10:56:13+00:00, 13, 10, WIN
3, CollegeFriends, 250, 2020-09-06T11:01:33+00:00, 13, 3, WIN
4, CollegeFriends, 250, 2020-09-06T11:06:53+00:00, 9, 19, LOSE
5, CollegeFriends, 250, 2020-09-06T11:12:13+00:00, 14, 8, WIN
6, CollegeFriends, 250, 2020-09-06T11:17:33+00:00, 12, 9, WIN
7, CollegeFriends, 250, 2020-09-06T11:22:53+00:00, 12, 14, LOSE
8, CollegeFriends, 250, 2020-09-06T11:28:13+00:00, 14, 4, WIN
9, CollegeFriends, 250, 2020-09-06T11:33:33+00:00, 12, 11, WIN
10, CollegeFriends, 250, 2020-09-06T11:38:53+00:00, 14, 12, WIN
11, CollegeFriends, 250, 2020-09-06T11:44:13+00:00, 11, 15, LOSE
12, CollegeFriends, 250, 2020-09-06T11:49:33+00:00, 15, 11, WIN
13, CollegeFriends, 250, 2020-09-06T11:59:52+00:00, 14, 9, WIN
14, CollegeFriends, 250, 2020-09-06T12:05:17+00:00, 14, 9, WIN
15, CollegeFriends, 250, 2020-09-06T12:10:37+00:00, 11, 18, LOSE
16, CollegeFriends, 250, 2020-09-06T12:15:58+00:00, 13, 2, WIN
17, CollegeFriends, 250, 2020-09-06T12:21:17+00:00, 6, 2, WIN
18, CollegeFriends, 250, 2020-09-06T12:27:51+00:00, 12, 8, WIN
19, CollegeFriends, 250, 2020-09-06T12:34:27+00:00, 6, 1, WIN
20, CollegeFriends, 250, 2020-09-06T12:39:48+00:00, 13, 3, WIN
21, CollegeFriends, 250, 2020-09-06T12:45:08+00:00, 12, 11, WIN
22, CollegeFriends, 250, 2020-09-06T12:50:28+00:00, 12, 10, WIN
23, CollegeFriends, 250, 2020-09-06T12:55:48+00:00, 13, 9, WIN
24, CollegeFriends, 250, 2020-09-06T13:01:08+00:00, 13, 10, WIN
25, CollegeFriends, 250, 2020-09-06T13:06:29+00:00, 14, 4, WIN
26, CollegeFriends, 250, 2020-09-06T13:11:49+00:00, 12, 9, WIN
27, CollegeFriends, 250, 2020-09-06T13:17:09+00:00, 14, 4, WIN
28, CollegeFriends, 250, 2020-09-06T13:22:29+00:00, 14, 4, WIN
29, CollegeFriends, 250, 2020-09-06T13:27:49+00:00, 11, 12, LOSE
30, CollegeFriends, 250, 2020-09-06T13:33:09+00:00, 10, 0, WIN
31, CollegeFriends, 250, 2020-09-06T13:38:29+00:00, 14, 4, WIN
32, CollegeFriends, 250, 2020-09-06T13:43:50+00:00, 11, 12, LOSE
33, CollegeFriends, 250, 2020-09-06T13:49:10+00:00, 17, 6, WIN
34, CollegeFriends, 250, 2020-09-06T13:54:30+00:00, 13, 12, WIN
35, CollegeFriends, 250, 2020-09-06T13:59:51+00:00, 14, 3, WIN
36, CollegeFriends, 250, 2020-09-06T14:05:11+00:00, 13, 3, WIN
