iteration, enemy_name, game_time(s), date, my_score, enemy_score, battle_result
0, F0CACC1A, 250, 2020-08-25T15:32:43+00:00, 1, 11, LOSE
1, F0CACC1A, 250, 2020-08-25T15:38:01+00:00, 11, 22, LOSE
2, F0CACC1A, 250, 2020-08-25T15:43:19+00:00, 13, 13, LOSE
3, F0CACC1A, 250, 2020-08-25T15:48:38+00:00, 1, 11, LOSE
4, F0CACC1A, 250, 2020-08-25T15:53:56+00:00, 12, 22, LOSE
5, F0CACC1A, 250, 2020-08-25T15:59:14+00:00, 11, 12, LOSE
6, F0CACC1A, 250, 2020-08-25T16:04:33+00:00, 12, 11, WIN
7, F0CACC1A, 250, 2020-08-25T16:09:52+00:00, 1, 11, LOSE
8, F0CACC1A, 250, 2020-08-25T16:15:10+00:00, 12, 22, LOSE
9, F0CACC1A, 250, 2020-08-25T16:20:30+00:00, 13, 10, WIN
10, F0CACC1A, 250, 2020-08-25T16:25:48+00:00, 11, 18, LOSE
11, F0CACC1A, 250, 2020-08-25T16:31:06+00:00, 11, 15, LOSE
12, F0CACC1A, 250, 2020-08-25T16:36:25+00:00, 12, 11, WIN
