iteration, enemy_name, game_time(s), date, my_score, enemy_score, battle_result
0, Gantetsu-robocon, 250, 2020-08-24T17:06:47+00:00, 6, 16, LOSE
1, Gantetsu-robocon, 250, 2020-08-24T17:12:38+00:00, 4, 14, LOSE
2, Gantetsu-robocon, 250, 2020-08-24T17:19:35+00:00, 6, 5, WIN
3, Gantetsu-robocon, 250, 2020-08-24T17:25:37+00:00, 2, 3, LOSE
4, Gantetsu-robocon, 250, 2020-08-24T17:32:27+00:00, 11, 2, WIN
5, Gantetsu-robocon, 250, 2020-08-24T17:39:02+00:00, 7, 0, WIN
6, Gantetsu-robocon, 250, 2020-08-24T17:45:48+00:00, 3, 13, LOSE
7, Gantetsu-robocon, 250, 2020-08-24T17:52:44+00:00, 3, 3, LOSE
8, Gantetsu-robocon, 250, 2020-08-24T17:59:05+00:00, 3, 3, LOSE
9, Gantetsu-robocon, 250, 2020-08-24T18:04:53+00:00, 3, 2, WIN
10, Gantetsu-robocon, 250, 2020-08-24T18:11:28+00:00, 3, 2, WIN
11, Gantetsu-robocon, 250, 2020-08-24T18:18:03+00:00, 3, 3, LOSE
12, Gantetsu-robocon, 250, 2020-08-24T18:24:36+00:00, 3, 4, LOSE
13, Gantetsu-robocon, 250, 2020-08-24T18:31:16+00:00, 9, 3, WIN
14, Gantetsu-robocon, 250, 2020-08-24T18:37:08+00:00, 6, 3, WIN
15, Gantetsu-robocon, 250, 2020-08-24T18:42:31+00:00, 3, 3, LOSE
16, Gantetsu-robocon, 250, 2020-08-24T18:49:33+00:00, 14, 4, WIN
17, Gantetsu-robocon, 250, 2020-08-24T18:55:56+00:00, 14, 6, WIN
18, Gantetsu-robocon, 250, 2020-08-24T19:03:29+00:00, 2, 4, LOSE
19, Gantetsu-robocon, 250, 2020-08-24T19:10:33+00:00, 2, 3, LOSE
20, Gantetsu-robocon, 250, 2020-08-24T19:16:19+00:00, 2, 2, LOSE
21, Gantetsu-robocon, 250, 2020-08-24T19:22:17+00:00, 12, 2, WIN
22, Gantetsu-robocon, 250, 2020-08-24T19:28:57+00:00, 6, 2, WIN
23, Gantetsu-robocon, 250, 2020-08-24T19:35:27+00:00, 2, 4, LOSE
24, Gantetsu-robocon, 250, 2020-08-24T19:41:19+00:00, 3, 2, WIN
25, Gantetsu-robocon, 250, 2020-08-24T19:47:53+00:00, 3, 7, LOSE
26, Gantetsu-robocon, 250, 2020-08-24T19:54:15+00:00, 3, 3, LOSE
27, Gantetsu-robocon, 250, 2020-08-24T19:59:59+00:00, 4, 3, WIN
28, Gantetsu-robocon, 250, 2020-08-24T20:06:35+00:00, 5, 6, LOSE
29, Gantetsu-robocon, 250, 2020-08-24T20:13:43+00:00, 2, 6, LOSE
30, Gantetsu-robocon, 250, 2020-08-24T20:19:52+00:00, 8, 3, WIN
31, Gantetsu-robocon, 250, 2020-08-24T20:26:57+00:00, 6, 3, WIN
32, Gantetsu-robocon, 250, 2020-08-24T20:33:50+00:00, 11, 1, WIN
33, Gantetsu-robocon, 250, 2020-08-24T20:40:04+00:00, 2, 2, LOSE
34, Gantetsu-robocon, 250, 2020-08-24T20:47:10+00:00, 3, 3, LOSE
35, Gantetsu-robocon, 250, 2020-08-24T20:53:59+00:00, 3, 4, LOSE
36, Gantetsu-robocon, 250, 2020-08-24T21:00:03+00:00, 3, 5, LOSE
37, Gantetsu-robocon, 250, 2020-08-24T21:06:43+00:00, 14, 4, WIN
38, Gantetsu-robocon, 250, 2020-08-24T21:13:13+00:00, 3, 3, LOSE
39, Gantetsu-robocon, 250, 2020-08-24T21:19:48+00:00, 7, 8, LOSE
40, Gantetsu-robocon, 250, 2020-08-24T21:26:01+00:00, 6, 13, LOSE
41, Gantetsu-robocon, 250, 2020-08-24T21:32:39+00:00, 11, 8, WIN
42, Gantetsu-robocon, 250, 2020-08-24T21:39:05+00:00, 6, 13, LOSE
43, Gantetsu-robocon, 250, 2020-08-24T21:45:30+00:00, 4, 5, LOSE
44, Gantetsu-robocon, 250, 2020-08-24T21:51:20+00:00, 3, 3, LOSE
