iteration, enemy_name, game_time(s), date, my_score, enemy_score, battle_result
0, BolaDeArroz, 225, 2020-08-22T18:11:49+00:00, 12, 2, WIN
0, BolaDeArroz, 225, 2020-08-22T18:16:36+00:00, 8, 7, WIN
0, BolaDeArroz, 225, 2020-08-22T18:21:23+00:00, 5, 7, LOSE
0, BolaDeArroz, 225, 2020-08-22T18:26:10+00:00, 11, 3, WIN
0, BolaDeArroz, 225, 2020-08-22T18:30:57+00:00, 14, 4, WIN
0, BolaDeArroz, 225, 2020-08-22T18:35:45+00:00, 12, 2, WIN
0, BolaDeArroz, 225, 2020-08-22T18:40:31+00:00, 11, 4, WIN
0, BolaDeArroz, 225, 2020-08-22T18:45:19+00:00, 15, 4, WIN
0, BolaDeArroz, 225, 2020-08-22T18:50:06+00:00, 11, 4, WIN
0, BolaDeArroz, 225, 2020-08-22T18:54:53+00:00, 11, 1, WIN
0, BolaDeArroz, 225, 2020-08-22T18:59:40+00:00, 14, 3, WIN
0, BolaDeArroz, 225, 2020-08-22T19:04:27+00:00, 7, 5, WIN
0, BolaDeArroz, 225, 2020-08-22T19:09:14+00:00, 8, 7, WIN
0, BolaDeArroz, 225, 2020-08-22T19:14:01+00:00, 9, 8, WIN
0, BolaDeArroz, 225, 2020-08-22T19:18:47+00:00, 7, 5, WIN
0, BolaDeArroz, 225, 2020-08-22T19:23:35+00:00, 7, 4, WIN
0, BolaDeArroz, 225, 2020-08-22T19:28:21+00:00, 16, 4, WIN
0, BolaDeArroz, 225, 2020-08-22T19:33:08+00:00, 5, 7, LOSE
0, BolaDeArroz, 225, 2020-08-22T19:37:55+00:00, 6, 4, WIN
0, BolaDeArroz, 225, 2020-08-22T19:42:42+00:00, 10, 5, WIN
0, BolaDeArroz, 225, 2020-08-22T19:47:29+00:00, 8, 7, WIN
0, BolaDeArroz, 225, 2020-08-22T19:52:17+00:00, 13, 2, WIN
0, BolaDeArroz, 225, 2020-08-22T19:57:03+00:00, 7, 5, WIN
0, BolaDeArroz, 225, 2020-08-22T20:01:50+00:00, 15, 5, WIN
0, BolaDeArroz, 225, 2020-08-22T20:06:37+00:00, 15, 3, WIN
0, BolaDeArroz, 225, 2020-08-22T20:11:24+00:00, 15, 11, WIN
0, BolaDeArroz, 225, 2020-08-22T20:16:11+00:00, 10, 7, WIN
0, BolaDeArroz, 225, 2020-08-22T20:20:59+00:00, 8, 7, WIN
0, BolaDeArroz, 225, 2020-08-22T20:25:46+00:00, 15, 3, WIN
0, BolaDeArroz, 225, 2020-08-22T20:30:33+00:00, 6, 6, LOSE
0, BolaDeArroz, 225, 2020-08-22T20:35:21+00:00, 9, 6, WIN
0, BolaDeArroz, 225, 2020-08-22T20:40:07+00:00, 17, 6, WIN
0, BolaDeArroz, 225, 2020-08-22T20:44:54+00:00, 15, 5, WIN
0, BolaDeArroz, 225, 2020-08-22T20:49:41+00:00, 15, 5, WIN
0, BolaDeArroz, 225, 2020-08-22T20:54:28+00:00, 14, 3, WIN
0, BolaDeArroz, 225, 2020-08-22T20:59:15+00:00, 14, 12, WIN
0, BolaDeArroz, 225, 2020-08-22T21:04:02+00:00, 6, 6, LOSE
0, BolaDeArroz, 225, 2020-08-22T21:08:49+00:00, 11, 12, LOSE
0, BolaDeArroz, 225, 2020-08-22T21:13:36+00:00, 18, 5, WIN
0, BolaDeArroz, 225, 2020-08-22T21:18:24+00:00, 10, 8, WIN
0, BolaDeArroz, 225, 2020-08-22T21:23:11+00:00, 14, 6, WIN
0, BolaDeArroz, 225, 2020-08-22T21:27:59+00:00, 15, 4, WIN
0, BolaDeArroz, 225, 2020-08-22T21:32:46+00:00, 15, 5, WIN
0, BolaDeArroz, 225, 2020-08-22T21:37:33+00:00, 13, 2, WIN
0, BolaDeArroz, 225, 2020-08-22T21:42:20+00:00, 8, 4, WIN
0, BolaDeArroz, 225, 2020-08-22T21:47:07+00:00, 12, 2, WIN
0, BolaDeArroz, 225, 2020-08-22T21:51:54+00:00, 12, 5, WIN
0, BolaDeArroz, 225, 2020-08-22T21:56:41+00:00, 10, 7, WIN
0, BolaDeArroz, 225, 2020-08-22T22:01:28+00:00, 15, 5, WIN
0, BolaDeArroz, 225, 2020-08-22T22:06:15+00:00, 16, 4, WIN
0, BolaDeArroz, 225, 2020-08-22T22:11:02+00:00, 8, 9, LOSE
0, BolaDeArroz, 225, 2020-08-22T22:15:49+00:00, 11, 9, WIN
0, BolaDeArroz, 225, 2020-08-22T22:20:37+00:00, 7, 8, LOSE
0, BolaDeArroz, 225, 2020-08-22T22:25:24+00:00, 12, 8, WIN
0, BolaDeArroz, 225, 2020-08-22T22:30:11+00:00, 13, 2, WIN
0, BolaDeArroz, 225, 2020-08-22T22:34:58+00:00, 13, 3, WIN
0, BolaDeArroz, 225, 2020-08-22T22:39:45+00:00, 7, 5, WIN
0, BolaDeArroz, 225, 2020-08-22T22:44:33+00:00, 7, 5, WIN
0, BolaDeArroz, 225, 2020-08-22T22:49:20+00:00, 14, 3, WIN
0, BolaDeArroz, 225, 2020-08-22T22:54:07+00:00, 5, 7, LOSE
0, BolaDeArroz, 225, 2020-08-22T22:58:54+00:00, 17, 6, WIN
0, BolaDeArroz, 225, 2020-08-22T23:03:42+00:00, 8, 7, WIN
0, BolaDeArroz, 225, 2020-08-22T23:08:29+00:00, 13, 3, WIN
