iteration, enemy_name, game_time(s), date, my_score, enemy_score, battle_result
### before pushing follow planner ###
0, raucha, 225, 2020-08-23T10:20:57+00:00, 6, 6, LOSE
1, raucha, 225, 2020-08-23T10:25:50+00:00, 15, 4, WIN
2, raucha, 225, 2020-08-23T10:30:43+00:00, 0, 8, LOSE
3, raucha, 225, 2020-08-23T10:35:36+00:00, 17, 6, WIN
4, raucha, 225, 2020-08-23T10:40:29+00:00, 14, 3, WIN
5, raucha, 225, 2020-08-23T10:45:22+00:00, 15, 8, WIN
6, raucha, 225, 2020-08-23T10:50:15+00:00, 9, 14, LOSE
7, raucha, 225, 2020-08-23T10:55:08+00:00, 4, 8, LOSE
8, raucha, 225, 2020-08-23T11:00:02+00:00, 14, 4, WIN
