iteration, enemy_name, game_time(s), date, my_score, enemy_score, battle_result
0, raucha, 250, 2020-09-08T00:14:17+00:00, 8, 5, WIN
1, raucha, 250, 2020-09-08T00:19:37+00:00, 10, 4, WIN
2, raucha, 250, 2020-09-08T00:24:57+00:00, 15, 5, WIN
3, raucha, 250, 2020-09-08T00:30:17+00:00, 6, 3, WIN
4, raucha, 250, 2020-09-08T00:35:38+00:00, 13, 2, WIN
5, raucha, 250, 2020-09-08T00:40:58+00:00, 11, 2, WIN
6, raucha, 250, 2020-09-08T00:46:21+00:00, 9, 4, WIN
7, raucha, 250, 2020-09-08T00:51:41+00:00, 13, 2, WIN
8, raucha, 250, 2020-09-08T00:57:01+00:00, 14, 4, WIN
9, raucha, 250, 2020-09-08T01:02:21+00:00, 4, 3, WIN
10, raucha, 250, 2020-09-08T01:07:41+00:00, 4, 5, LOSE
11, raucha, 250, 2020-09-08T01:13:02+00:00, 3, 3, LOSE
12, raucha, 250, 2020-09-08T01:18:22+00:00, 4, 3, WIN
13, raucha, 250, 2020-09-08T01:23:42+00:00, 1, 6, LOSE
14, raucha, 250, 2020-09-08T01:29:02+00:00, 9, 11, LOSE
15, raucha, 250, 2020-09-08T01:34:22+00:00, 14, 4, WIN
16, raucha, 250, 2020-09-08T01:39:42+00:00, 12, 5, WIN
17, raucha, 250, 2020-09-08T01:45:03+00:00, 4, 6, LOSE
18, raucha, 250, 2020-09-08T01:50:23+00:00, 14, 3, WIN
19, raucha, 250, 2020-09-08T01:55:44+00:00, 13, 4, WIN
20, raucha, 250, 2020-09-08T02:01:04+00:00, 14, 9, WIN
21, raucha, 250, 2020-09-08T02:06:25+00:00, 14, 5, WIN
22, raucha, 250, 2020-09-08T02:11:45+00:00, 6, 3, WIN
23, raucha, 250, 2020-09-08T02:17:05+00:00, 14, 3, WIN
24, raucha, 250, 2020-09-08T02:22:25+00:00, 6, 2, WIN
25, raucha, 250, 2020-09-08T02:27:46+00:00, 5, 5, LOSE
26, raucha, 250, 2020-09-08T02:33:06+00:00, 11, 4, WIN
27, raucha, 250, 2020-09-08T02:38:26+00:00, 15, 3, WIN
28, raucha, 250, 2020-09-08T02:43:47+00:00, 13, 9, WIN
29, raucha, 250, 2020-09-08T02:49:08+00:00, 14, 11, WIN
30, raucha, 250, 2020-09-08T02:54:28+00:00, 14, 6, WIN
