iteration, enemy_name, game_time(s), date, my_score, enemy_score, battle_result
0, safubuki, 250, 2020-09-07T15:01:18+00:00, 14, 4, WIN
1, safubuki, 250, 2020-09-07T15:06:39+00:00, 15, 9, WIN
2, safubuki, 250, 2020-09-07T15:11:59+00:00, 13, 3, WIN
3, safubuki, 250, 2020-09-07T15:17:19+00:00, 12, 8, WIN
4, safubuki, 250, 2020-09-07T15:22:39+00:00, 14, 4, WIN
5, safubuki, 250, 2020-09-07T15:27:59+00:00, 14, 4, WIN
6, safubuki, 250, 2020-09-07T15:33:18+00:00, 13, 2, WIN
7, safubuki, 250, 2020-09-07T15:38:37+00:00, 14, 4, WIN
8, safubuki, 250, 2020-09-07T15:43:57+00:00, 13, 11, WIN
9, safubuki, 250, 2020-09-07T15:49:16+00:00, 14, 4, WIN
10, safubuki, 250, 2020-09-07T15:54:35+00:00, 16, 7, WIN
11, safubuki, 250, 2020-09-07T15:59:54+00:00, 13, 3, WIN
12, safubuki, 250, 2020-09-07T16:05:13+00:00, 14, 3, WIN
13, safubuki, 250, 2020-09-07T16:10:32+00:00, 13, 3, WIN
14, safubuki, 250, 2020-09-07T16:15:51+00:00, 5, 5, LOSE
15, safubuki, 250, 2020-09-07T16:21:11+00:00, 15, 10, WIN
16, safubuki, 250, 2020-09-07T16:26:31+00:00, 14, 4, WIN
17, safubuki, 250, 2020-09-07T16:31:51+00:00, 14, 12, WIN
18, safubuki, 250, 2020-09-07T16:37:09+00:00, 14, 2, WIN
19, safubuki, 250, 2020-09-07T16:42:28+00:00, 13, 3, WIN
20, safubuki, 250, 2020-09-07T16:47:47+00:00, 12, 6, WIN
21, safubuki, 250, 2020-09-07T16:53:06+00:00, 13, 3, WIN
22, safubuki, 250, 2020-09-07T16:58:25+00:00, 13, 3, WIN
23, safubuki, 250, 2020-09-07T17:03:44+00:00, 14, 2, WIN
24, safubuki, 250, 2020-09-07T17:09:02+00:00, 14, 4, WIN
25, safubuki, 250, 2020-09-07T17:14:21+00:00, 15, 7, WIN
26, safubuki, 250, 2020-09-07T17:19:41+00:00, 15, 9, WIN
27, safubuki, 250, 2020-09-07T17:25:00+00:00, 13, 7, WIN
28, safubuki, 250, 2020-09-07T17:30:19+00:00, 12, 7, WIN
29, safubuki, 250, 2020-09-07T17:35:38+00:00, 14, 4, WIN
30, safubuki, 250, 2020-09-07T17:40:57+00:00, 14, 12, WIN
31, safubuki, 250, 2020-09-07T17:46:16+00:00, 13, 8, WIN
32, safubuki, 250, 2020-09-07T17:51:35+00:00, 13, 3, WIN
33, safubuki, 250, 2020-09-07T17:56:54+00:00, 13, 3, WIN
34, safubuki, 250, 2020-09-07T18:02:13+00:00, 13, 3, WIN
35, safubuki, 250, 2020-09-07T18:07:32+00:00, 13, 8, WIN
36, safubuki, 250, 2020-09-07T18:12:51+00:00, 11, 3, WIN
