iteration, enemy_name, game_time(s), date, my_score, enemy_score, battle_result
0, sugarman1983, 250, 2020-08-27T16:04:05+00:00, 12, 19, LOSE
1, sugarman1983, 250, 2020-08-27T16:09:25+00:00, 3, 14, LOSE
2, sugarman1983, 250, 2020-08-27T16:14:47+00:00, 3, 13, LOSE
3, sugarman1983, 250, 2020-08-27T16:20:07+00:00, 9, 19, LOSE
4, sugarman1983, 250, 2020-08-27T16:25:27+00:00, 6, 17, LOSE
5, sugarman1983, 250, 2020-08-27T16:30:48+00:00, 12, 17, LOSE
6, sugarman1983, 250, 2020-08-27T16:36:10+00:00, 16, 18, LOSE
7, sugarman1983, 250, 2020-08-27T16:41:31+00:00, 15, 5, WIN
8, sugarman1983, 250, 2020-08-27T16:46:52+00:00, 8, 18, LOSE
9, sugarman1983, 250, 2020-08-27T16:52:13+00:00, 3, 14, LOSE
10, sugarman1983, 250, 2020-08-27T16:57:35+00:00, 14, 20, LOSE
11, sugarman1983, 250, 2020-08-27T17:02:55+00:00, 16, 17, LOSE
12, sugarman1983, 250, 2020-08-27T17:08:16+00:00, 2, 14, LOSE
13, sugarman1983, 250, 2020-08-27T17:13:37+00:00, 2, 14, LOSE
14, sugarman1983, 250, 2020-08-27T17:18:57+00:00, 6, 17, LOSE
15, sugarman1983, 250, 2020-08-27T17:24:18+00:00, 13, 16, LOSE
16, sugarman1983, 250, 2020-08-27T17:29:39+00:00, 13, 21, LOSE
17, sugarman1983, 250, 2020-08-27T17:34:59+00:00, 3, 13, LOSE
18, sugarman1983, 250, 2020-08-27T17:40:20+00:00, 3, 14, LOSE
19, sugarman1983, 250, 2020-08-27T17:45:40+00:00, 3, 13, LOSE
20, sugarman1983, 250, 2020-08-27T17:51:01+00:00, 15, 19, LOSE
21, sugarman1983, 250, 2020-08-27T17:56:22+00:00, 15, 5, WIN
