iteration, enemy_name, game_time(s), date, my_score, enemy_score, battle_result
0, yshimomura, 250, 2020-09-02T15:50:57+00:00, 16, 4, WIN
1, yshimomura, 250, 2020-09-02T15:56:22+00:00, 14, 2, WIN
2, yshimomura, 250, 2020-09-02T16:02:34+00:00, 15, 5, WIN
3, yshimomura, 250, 2020-09-02T16:08:45+00:00, 16, 5, WIN
4, yshimomura, 250, 2020-09-02T16:14:36+00:00, 13, 3, WIN
5, yshimomura, 250, 2020-09-02T16:35:04+00:00, 15, 4, WIN
6, yshimomura, 250, 2020-09-02T16:41:20+00:00, 17, 5, WIN
7, yshimomura, 250, 2020-09-02T16:48:18+00:00, 17, 5, WIN
8, yshimomura, 250, 2020-09-02T16:54:43+00:00, 18, 8, WIN
9, yshimomura, 250, 2020-09-02T17:01:04+00:00, 14, 4, WIN
10, yshimomura, 250, 2020-09-02T17:07:57+00:00, 13, 3, WIN
11, yshimomura, 250, 2020-09-02T17:15:03+00:00, 15, 5, WIN
12, yshimomura, 250, 2020-09-02T17:21:01+00:00, 17, 3, WIN
13, yshimomura, 250, 2020-09-02T17:27:41+00:00, 12, 7, WIN
14, yshimomura, 250, 2020-09-02T17:34:20+00:00, 15, 4, WIN
15, yshimomura, 250, 2020-09-02T17:41:03+00:00, 15, 9, WIN
16, yshimomura, 250, 2020-09-02T17:46:24+00:00, 15, 8, WIN
17, yshimomura, 250, 2020-09-02T17:53:09+00:00, 17, 3, WIN
18, yshimomura, 250, 2020-09-02T17:58:56+00:00, 13, 10, WIN
19, yshimomura, 250, 2020-09-02T18:05:31+00:00, 15, 3, WIN
20, yshimomura, 250, 2020-09-02T18:11:31+00:00, 13, 3, WIN
21, yshimomura, 250, 2020-09-02T18:18:37+00:00, 12, 1, WIN
22, yshimomura, 250, 2020-09-02T18:24:56+00:00, 13, 2, WIN
23, yshimomura, 250, 2020-09-02T18:31:57+00:00, 15, 6, WIN
24, yshimomura, 250, 2020-09-02T18:38:56+00:00, 15, 5, WIN
25, yshimomura, 250, 2020-09-02T18:45:02+00:00, 13, 6, WIN
26, yshimomura, 250, 2020-09-02T18:50:50+00:00, 13, 2, WIN
27, yshimomura, 250, 2020-09-02T18:57:47+00:00, 15, 6, WIN
28, yshimomura, 250, 2020-09-02T19:04:30+00:00, 14, 4, WIN
29, yshimomura, 250, 2020-09-02T19:10:40+00:00, 13, 3, WIN
30, yshimomura, 250, 2020-09-02T19:16:43+00:00, 14, 1, WIN
31, yshimomura, 250, 2020-09-02T19:22:15+00:00, 14, 15, LOSE
32, yshimomura, 250, 2020-09-02T19:28:41+00:00, 16, 6, WIN
33, yshimomura, 250, 2020-09-02T19:34:25+00:00, 14, 4, WIN
34, yshimomura, 250, 2020-09-02T19:40:38+00:00, 15, 4, WIN
35, yshimomura, 250, 2020-09-02T19:47:34+00:00, 13, 16, LOSE
36, yshimomura, 250, 2020-09-02T19:53:16+00:00, 15, 3, WIN
37, yshimomura, 250, 2020-09-02T19:59:54+00:00, 17, 4, WIN
38, yshimomura, 250, 2020-09-02T20:06:26+00:00, 15, 3, WIN
39, yshimomura, 250, 2020-09-02T20:12:35+00:00, 14, 4, WIN
40, yshimomura, 250, 2020-09-02T20:18:19+00:00, 14, 4, WIN
41, yshimomura, 250, 2020-09-02T20:25:28+00:00, 17, 4, WIN
42, yshimomura, 250, 2020-09-02T20:32:26+00:00, 15, 7, WIN
43, yshimomura, 250, 2020-09-02T20:38:47+00:00, 15, 5, WIN
44, yshimomura, 250, 2020-09-02T20:44:47+00:00, 15, 4, WIN
45, yshimomura, 250, 2020-09-02T20:51:23+00:00, 15, 2, WIN
46, yshimomura, 250, 2020-09-02T20:57:52+00:00, 14, 6, WIN
47, yshimomura, 250, 2020-09-02T21:04:44+00:00, 14, 4, WIN
48, yshimomura, 250, 2020-09-02T21:10:48+00:00, 14, 4, WIN
49, yshimomura, 250, 2020-09-02T21:17:17+00:00, 13, 3, WIN
50, yshimomura, 250, 2020-09-02T21:24:18+00:00, 15, 3, WIN
51, yshimomura, 250, 2020-09-02T21:30:41+00:00, 12, 1, WIN
52, yshimomura, 250, 2020-09-02T21:37:24+00:00, 15, 2, WIN
53, yshimomura, 250, 2020-09-02T21:43:09+00:00, 14, 4, WIN
54, yshimomura, 250, 2020-09-02T21:48:31+00:00, 15, 3, WIN
55, yshimomura, 250, 2020-09-02T21:54:06+00:00, 13, 15, LOSE
