iteration, enemy_level, game_time(s), date, my_score, enemy_score, battle_result, my_side
0, 8, 225, 2020-09-04T10:19:23+00:00, 3, 3, LOSE, r
1, 8, 225, 2020-09-04T10:24:10+00:00, 13, 9, WIN, r
2, 8, 225, 2020-09-04T10:28:58+00:00, 16, 10, WIN, r
3, 8, 225, 2020-09-04T10:33:44+00:00, 17, 5, WIN, r
4, 8, 225, 2020-09-04T10:38:32+00:00, 6, 2, WIN, r
5, 8, 225, 2020-09-04T10:43:19+00:00, 13, 6, WIN, r
6, 8, 225, 2020-09-04T10:48:06+00:00, 12, 2, WIN, r
7, 8, 225, 2020-09-04T10:52:53+00:00, 12, 8, WIN, r
8, 8, 225, 2020-09-04T10:57:41+00:00, 10, 4, WIN, r
9, 8, 225, 2020-09-04T11:02:28+00:00, 14, 8, WIN, r
10, 8, 225, 2020-09-04T11:07:15+00:00, 17, 9, WIN, r
11, 8, 225, 2020-09-04T11:12:02+00:00, 3, 2, WIN, r
12, 8, 225, 2020-09-04T11:16:50+00:00, 7, 2, WIN, r
13, 8, 225, 2020-09-04T11:21:37+00:00, 6, 2, WIN, r
14, 8, 225, 2020-09-04T11:26:24+00:00, 12, 2, WIN, r
15, 8, 225, 2020-09-04T11:31:11+00:00, 12, 11, WIN, r
16, 8, 225, 2020-09-04T11:35:58+00:00, 6, 4, WIN, r
17, 8, 225, 2020-09-04T11:40:45+00:00, 16, 5, WIN, r
18, 8, 225, 2020-09-04T11:45:32+00:00, 18, 7, WIN, r
19, 8, 225, 2020-09-04T11:50:20+00:00, 16, 14, WIN, r
20, 8, 225, 2020-09-04T11:55:07+00:00, 15, 6, WIN, r
21, 8, 225, 2020-09-04T11:59:54+00:00, 6, 3, WIN, r
22, 8, 225, 2020-09-04T12:04:41+00:00, 8, 12, LOSE, r
