iteration, enemy_level, game_time(s), date, my_score, enemy_score, battle_result, my_side
0, 4, 225, 2020-09-05T16:56:31+00:00, 12, 10, WIN, r
0, 5, 225, 2020-09-05T17:01:18+00:00, 10, 2, WIN, r
0, 7, 225, 2020-09-05T17:06:05+00:00, 14, 2, WIN, r
0, 8, 225, 2020-09-05T17:10:52+00:00, 8, 4, WIN, r
1, 4, 225, 2020-09-05T17:15:39+00:00, 10, 2, WIN, r
1, 5, 225, 2020-09-05T17:20:26+00:00, 17, 3, WIN, r
1, 7, 225, 2020-09-05T17:25:13+00:00, 11, 1, WIN, r
1, 8, 225, 2020-09-05T17:30:00+00:00, 15, 6, WIN, r
2, 4, 225, 2020-09-05T17:34:47+00:00, 8, 7, WIN, r
2, 5, 225, 2020-09-05T17:39:35+00:00, 13, 2, WIN, r
2, 7, 225, 2020-09-05T17:44:22+00:00, 11, 1, WIN, r
2, 8, 225, 2020-09-05T17:49:09+00:00, 19, 10, WIN, r
3, 4, 225, 2020-09-05T17:53:56+00:00, 10, 8, WIN, r
3, 5, 225, 2020-09-05T17:58:43+00:00, 14, 4, WIN, r
3, 7, 225, 2020-09-05T18:03:30+00:00, 8, 18, LOSE, r
3, 8, 225, 2020-09-05T18:08:17+00:00, 14, 4, WIN, r
4, 4, 225, 2020-09-05T18:13:05+00:00, 11, 1, WIN, r
4, 5, 225, 2020-09-05T18:17:53+00:00, 12, 2, WIN, r
4, 7, 225, 2020-09-05T18:22:40+00:00, 11, 1, WIN, r
4, 8, 225, 2020-09-05T18:27:27+00:00, 13, 3, WIN, r
5, 4, 225, 2020-09-05T18:32:14+00:00, 8, 4, WIN, r
5, 5, 225, 2020-09-05T18:37:01+00:00, 11, 12, LOSE, r
5, 7, 225, 2020-09-05T18:41:48+00:00, 10, 5, WIN, r
5, 8, 225, 2020-09-05T18:46:35+00:00, 9, 3, WIN, r
6, 4, 225, 2020-09-05T18:51:22+00:00, 8, 7, WIN, r
6, 5, 225, 2020-09-05T18:56:10+00:00, 14, 3, WIN, r
6, 7, 225, 2020-09-05T19:00:57+00:00, 11, 1, WIN, r
6, 8, 225, 2020-09-05T19:05:44+00:00, 17, 7, WIN, r
7, 4, 225, 2020-09-05T19:10:32+00:00, 11, 0, WIN, r
7, 5, 225, 2020-09-05T19:15:19+00:00, 15, 4, WIN, r
7, 7, 225, 2020-09-05T19:20:06+00:00, 11, 1, WIN, r
7, 8, 225, 2020-09-05T19:24:53+00:00, 6, 5, WIN, r
8, 4, 225, 2020-09-05T19:29:43+00:00, 10, 2, WIN, r
