iteration, enemy_level, game_time(s), date, my_score, enemy_score, battle_result, my_side
0, 4, 225, 2020-09-05T05:06:44+00:00, 11, 1, WIN, r
0, 5, 225, 2020-09-05T05:11:31+00:00, 11, 12, LOSE, r
0, 7, 225, 2020-09-05T05:16:19+00:00, 13, 3, WIN, r
0, 8, 225, 2020-09-05T05:21:07+00:00, 5, 3, WIN, r
1, 4, 225, 2020-09-05T05:25:54+00:00, 11, 3, WIN, r
1, 5, 225, 2020-09-05T05:30:41+00:00, 17, 6, WIN, r
1, 7, 225, 2020-09-05T05:35:28+00:00, 13, 2, WIN, r
1, 8, 225, 2020-09-05T05:40:15+00:00, 11, 7, WIN, r
2, 4, 225, 2020-09-05T05:45:02+00:00, 11, 4, WIN, r
2, 5, 225, 2020-09-05T05:49:49+00:00, 14, 4, WIN, r
2, 7, 225, 2020-09-05T05:54:36+00:00, 11, 1, WIN, r
2, 8, 225, 2020-09-05T05:59:24+00:00, 17, 7, WIN, r
3, 4, 225, 2020-09-05T06:04:11+00:00, 11, 4, WIN, r
3, 5, 225, 2020-09-05T06:08:58+00:00, 7, 5, WIN, r
3, 7, 225, 2020-09-05T06:13:45+00:00, 7, 8, LOSE, r
3, 8, 225, 2020-09-05T06:18:32+00:00, 10, 7, WIN, r
4, 4, 225, 2020-09-05T06:23:19+00:00, 11, 4, WIN, r
4, 5, 225, 2020-09-05T06:28:06+00:00, 11, 12, LOSE, r
4, 7, 225, 2020-09-05T06:32:53+00:00, 11, 1, WIN, r
4, 8, 225, 2020-09-05T06:37:43+00:00, 15, 5, WIN, r
5, 4, 225, 2020-09-05T06:42:31+00:00, 14, 4, WIN, r
5, 5, 225, 2020-09-05T06:47:18+00:00, 7, 5, WIN, r
5, 7, 225, 2020-09-05T06:52:05+00:00, 6, 6, LOSE, r
5, 8, 225, 2020-09-05T06:56:53+00:00, 9, 5, WIN, r
6, 4, 225, 2020-09-05T07:01:40+00:00, 13, 2, WIN, r
6, 5, 225, 2020-09-05T07:06:27+00:00, 13, 2, WIN, r
6, 7, 225, 2020-09-05T07:11:14+00:00, 18, 11, WIN, r
6, 8, 225, 2020-09-05T07:16:01+00:00, 12, 6, WIN, r
7, 4, 225, 2020-09-05T07:20:48+00:00, 12, 3, WIN, r
7, 5, 225, 2020-09-05T07:25:35+00:00, 11, 12, LOSE, r
7, 7, 225, 2020-09-05T07:30:23+00:00, 6, 17, LOSE, r
7, 8, 225, 2020-09-05T07:35:10+00:00, 13, 4, WIN, r
8, 4, 225, 2020-09-05T07:39:57+00:00, 9, 3, WIN, r
8, 5, 225, 2020-09-05T07:44:44+00:00, 12, 10, WIN, r
8, 7, 225, 2020-09-05T07:49:32+00:00, 11, 0, WIN, r
8, 8, 225, 2020-09-05T07:54:19+00:00, 16, 6, WIN, r
9, 4, 225, 2020-09-05T07:59:06+00:00, 9, 6, WIN, r
9, 5, 225, 2020-09-05T08:03:53+00:00, 15, 4, WIN, r
9, 7, 225, 2020-09-05T08:08:41+00:00, 18, 5, WIN, r
9, 8, 225, 2020-09-05T08:13:28+00:00, 16, 4, WIN, r
10, 4, 225, 2020-09-05T08:18:15+00:00, 5, 2, WIN, r
10, 5, 225, 2020-09-05T08:23:02+00:00, 14, 3, WIN, r
10, 7, 225, 2020-09-05T08:27:49+00:00, 14, 3, WIN, r
10, 8, 225, 2020-09-05T08:32:36+00:00, 11, 1, WIN, r
11, 4, 225, 2020-09-05T08:37:23+00:00, 9, 3, WIN, r
11, 5, 225, 2020-09-05T08:42:10+00:00, 14, 9, WIN, r
11, 7, 225, 2020-09-05T08:46:57+00:00, 12, 6, WIN, r
11, 8, 225, 2020-09-05T08:51:45+00:00, 8, 10, LOSE, r
12, 4, 225, 2020-09-05T08:56:32+00:00, 9, 3, WIN, r
12, 5, 225, 2020-09-05T09:01:20+00:00, 15, 5, WIN, r
12, 7, 225, 2020-09-05T09:06:06+00:00, 11, 1, WIN, r
12, 8, 225, 2020-09-05T09:10:54+00:00, 13, 3, WIN, r
13, 4, 225, 2020-09-05T09:15:41+00:00, 14, 4, WIN, r
13, 5, 225, 2020-09-05T09:20:28+00:00, 6, 5, WIN, r
13, 7, 225, 2020-09-05T09:25:15+00:00, 13, 1, WIN, r
13, 8, 225, 2020-09-05T09:30:02+00:00, 12, 11, WIN, r
14, 4, 225, 2020-09-05T09:34:49+00:00, 9, 5, WIN, r
14, 5, 225, 2020-09-05T09:39:36+00:00, 11, 12, LOSE, r
14, 7, 225, 2020-09-05T09:44:23+00:00, 13, 8, WIN, r
14, 8, 225, 2020-09-05T09:49:10+00:00, 17, 8, WIN, r
15, 4, 225, 2020-09-05T09:53:57+00:00, 6, 4, WIN, r
15, 5, 225, 2020-09-05T09:58:44+00:00, 14, 3, WIN, r
15, 7, 225, 2020-09-05T10:03:32+00:00, 15, 5, WIN, r
15, 8, 225, 2020-09-05T10:08:19+00:00, 14, 4, WIN, r
16, 4, 225, 2020-09-05T10:13:06+00:00, 11, 7, WIN, r
16, 5, 225, 2020-09-05T10:17:53+00:00, 7, 5, WIN, r
