iteration, enemy_level, game_time(s), date, my_score, enemy_score, battle_result, my_side
0, 8, 225, 2020-09-05T04:45:33+00:00, 16, 6, WIN, r
1, 8, 225, 2020-09-05T04:50:22+00:00, 7, 5, WIN, r
2, 8, 225, 2020-09-05T04:55:10+00:00, 11, 15, LOSE, r
3, 8, 225, 2020-09-05T04:59:59+00:00, 11, 7, WIN, r
4, 8, 225, 2020-09-05T05:04:47+00:00, 15, 7, WIN, r
5, 8, 225, 2020-09-05T05:09:35+00:00, 13, 5, WIN, r
6, 8, 225, 2020-09-05T05:14:24+00:00, 16, 17, LOSE, r
7, 8, 225, 2020-09-05T05:19:12+00:00, 15, 4, WIN, r
8, 8, 225, 2020-09-05T05:24:00+00:00, 3, 0, WIN, r
9, 8, 225, 2020-09-05T05:28:48+00:00, 8, 8, LOSE, r
10, 8, 225, 2020-09-05T05:33:36+00:00, 9, 8, WIN, r
11, 8, 225, 2020-09-05T05:38:24+00:00, 3, 13, LOSE, r
12, 8, 225, 2020-09-05T05:43:13+00:00, 12, 3, WIN, r
13, 8, 225, 2020-09-05T05:48:01+00:00, 13, 1, WIN, r
14, 8, 225, 2020-09-05T05:52:49+00:00, 8, 12, LOSE, r
15, 8, 225, 2020-09-05T05:57:37+00:00, 18, 15, WIN, r
16, 8, 225, 2020-09-05T06:02:26+00:00, 13, 15, LOSE, r
17, 8, 225, 2020-09-05T06:07:14+00:00, 8, 9, LOSE, r
18, 8, 225, 2020-09-05T06:12:02+00:00, 6, 4, WIN, r
19, 8, 225, 2020-09-05T06:16:51+00:00, 21, 12, WIN, r
20, 8, 225, 2020-09-05T06:21:39+00:00, 11, 2, WIN, r
21, 8, 225, 2020-09-05T06:26:27+00:00, 5, 15, LOSE, r
22, 8, 225, 2020-09-05T06:31:15+00:00, 8, 6, WIN, r
23, 8, 225, 2020-09-05T06:36:03+00:00, 3, 0, WIN, r
24, 8, 225, 2020-09-05T06:40:51+00:00, 14, 3, WIN, r
25, 8, 225, 2020-09-05T06:45:39+00:00, 14, 16, LOSE, r
26, 8, 225, 2020-09-05T06:50:28+00:00, 8, 5, WIN, r
27, 8, 225, 2020-09-05T06:55:16+00:00, 3, 13, LOSE, r
28, 8, 225, 2020-09-05T07:00:05+00:00, 6, 4, WIN, r
29, 8, 225, 2020-09-05T07:04:53+00:00, 17, 14, WIN, r
30, 8, 225, 2020-09-05T07:09:41+00:00, 8, 4, WIN, r
31, 8, 225, 2020-09-05T07:14:30+00:00, 3, 0, WIN, r
32, 8, 225, 2020-09-05T07:19:18+00:00, 8, 10, LOSE, r
33, 8, 225, 2020-09-05T07:24:07+00:00, 14, 6, WIN, r
34, 8, 225, 2020-09-05T07:28:56+00:00, 11, 4, WIN, r
35, 8, 225, 2020-09-05T07:33:44+00:00, 13, 5, WIN, r
36, 8, 225, 2020-09-05T07:38:33+00:00, 8, 5, WIN, r
37, 8, 225, 2020-09-05T07:43:21+00:00, 13, 10, WIN, r
38, 8, 225, 2020-09-05T07:48:10+00:00, 9, 2, WIN, r
39, 8, 225, 2020-09-05T07:52:58+00:00, 19, 12, WIN, r
40, 8, 225, 2020-09-05T07:57:46+00:00, 10, 7, WIN, r
41, 8, 225, 2020-09-05T08:02:35+00:00, 17, 4, WIN, r
42, 8, 225, 2020-09-05T08:07:23+00:00, 6, 0, WIN, r
43, 8, 225, 2020-09-05T08:12:11+00:00, 11, 9, WIN, r
44, 8, 225, 2020-09-05T08:17:00+00:00, 5, 4, WIN, r
45, 8, 225, 2020-09-05T08:21:48+00:00, 3, 0, WIN, r
46, 8, 225, 2020-09-05T08:26:36+00:00, 3, 2, WIN, r
47, 8, 225, 2020-09-05T08:31:25+00:00, 14, 4, WIN, r
48, 8, 225, 2020-09-05T08:36:13+00:00, 11, 8, WIN, r
49, 8, 225, 2020-09-05T08:41:02+00:00, 10, 10, LOSE, r
50, 8, 225, 2020-09-05T08:45:50+00:00, 8, 4, WIN, r
51, 8, 225, 2020-09-05T08:50:38+00:00, 9, 7, WIN, r
52, 8, 225, 2020-09-05T08:55:26+00:00, 9, 12, LOSE, r
53, 8, 225, 2020-09-05T09:00:14+00:00, 6, 4, WIN, r
54, 8, 225, 2020-09-05T09:05:03+00:00, 9, 7, WIN, r
55, 8, 225, 2020-09-05T09:09:51+00:00, 15, 13, WIN, r
56, 8, 225, 2020-09-05T09:14:40+00:00, 13, 15, LOSE, r
57, 8, 225, 2020-09-05T09:19:28+00:00, 15, 2, WIN, r
58, 8, 225, 2020-09-05T09:24:17+00:00, 13, 5, WIN, r
59, 8, 225, 2020-09-05T09:29:05+00:00, 9, 0, WIN, r
60, 8, 225, 2020-09-05T09:33:53+00:00, 8, 1, WIN, r
61, 8, 225, 2020-09-05T09:38:42+00:00, 8, 6, WIN, r
62, 8, 225, 2020-09-05T09:43:30+00:00, 17, 12, WIN, r
63, 8, 225, 2020-09-05T09:48:18+00:00, 6, 4, WIN, r
64, 8, 225, 2020-09-05T09:53:07+00:00, 3, 0, WIN, r
65, 8, 225, 2020-09-05T09:57:56+00:00, 9, 8, WIN, r
66, 8, 225, 2020-09-05T10:02:45+00:00, 8, 2, WIN, r
67, 8, 225, 2020-09-05T10:07:33+00:00, 3, 0, WIN, r
68, 8, 225, 2020-09-05T10:12:22+00:00, 15, 11, WIN, r
69, 8, 225, 2020-09-05T10:17:10+00:00, 3, 0, WIN, r
70, 8, 225, 2020-09-05T10:21:59+00:00, 7, 6, WIN, r
71, 8, 225, 2020-09-05T10:26:47+00:00, 8, 7, WIN, r
72, 8, 225, 2020-09-05T10:31:35+00:00, 3, 1, WIN, r
73, 8, 225, 2020-09-05T10:36:24+00:00, 12, 1, WIN, r
74, 8, 225, 2020-09-05T10:41:12+00:00, 14, 8, WIN, r
75, 8, 225, 2020-09-05T10:46:01+00:00, 2, 1, WIN, r
76, 8, 225, 2020-09-05T10:50:50+00:00, 5, 13, LOSE, r
77, 8, 225, 2020-09-05T10:55:38+00:00, 2, 1, WIN, r
78, 8, 225, 2020-09-05T11:00:27+00:00, 6, 1, WIN, r
79, 8, 225, 2020-09-05T11:05:15+00:00, 10, 8, WIN, r
80, 8, 225, 2020-09-05T11:10:03+00:00, 14, 4, WIN, r
81, 8, 225, 2020-09-05T11:14:51+00:00, 8, 4, WIN, r
82, 8, 225, 2020-09-05T11:19:39+00:00, 20, 9, WIN, r
83, 8, 225, 2020-09-05T11:24:28+00:00, 9, 8, WIN, r
84, 8, 225, 2020-09-05T11:29:16+00:00, 5, 4, WIN, r
85, 8, 225, 2020-09-05T11:34:04+00:00, 14, 3, WIN, r
86, 8, 225, 2020-09-05T11:38:52+00:00, 6, 0, WIN, r
87, 8, 225, 2020-09-05T11:43:41+00:00, 9, 7, WIN, r
88, 8, 225, 2020-09-05T11:48:29+00:00, 3, 1, WIN, r
89, 8, 225, 2020-09-05T11:53:18+00:00, 7, 4, WIN, r
90, 8, 225, 2020-09-05T11:58:06+00:00, 4, 11, LOSE, r
91, 8, 225, 2020-09-05T12:02:55+00:00, 3, 1, WIN, r
92, 8, 225, 2020-09-05T12:07:43+00:00, 10, 9, WIN, r
93, 8, 225, 2020-09-05T12:12:31+00:00, 8, 3, WIN, r
94, 8, 225, 2020-09-05T12:17:19+00:00, 7, 5, WIN, r
95, 8, 225, 2020-09-05T12:22:08+00:00, 12, 8, WIN, r
96, 8, 225, 2020-09-05T12:26:56+00:00, 5, 3, WIN, r
97, 8, 225, 2020-09-05T12:31:45+00:00, 3, 0, WIN, r
98, 8, 225, 2020-09-05T12:36:33+00:00, 11, 10, WIN, r
99, 8, 225, 2020-09-05T12:41:22+00:00, 12, 8, WIN, r
