iteration, enemy_level, game_time(s), date, my_score, enemy_score, battle_result, my_side
0, 8, 225, 2020-09-04T19:32:37+00:00, 8, 9, LOSE, r
1, 8, 225, 2020-09-04T19:37:25+00:00, 16, 5, WIN, r
2, 8, 225, 2020-09-04T19:42:13+00:00, 7, 4, WIN, r
3, 8, 225, 2020-09-04T19:47:01+00:00, 16, 15, WIN, r
4, 8, 225, 2020-09-04T19:51:50+00:00, 2, 1, WIN, r
5, 8, 225, 2020-09-04T19:56:38+00:00, 14, 6, WIN, r
6, 8, 225, 2020-09-04T20:01:26+00:00, 9, 6, WIN, r
7, 8, 225, 2020-09-04T20:06:14+00:00, 5, 3, WIN, r
8, 8, 225, 2020-09-04T20:11:03+00:00, 2, 0, WIN, r
9, 8, 225, 2020-09-04T20:15:51+00:00, 6, 0, WIN, r
10, 8, 225, 2020-09-04T20:20:39+00:00, 15, 15, LOSE, r
11, 8, 225, 2020-09-04T20:25:27+00:00, 9, 5, WIN, r
12, 8, 225, 2020-09-04T20:30:16+00:00, 3, 3, LOSE, r
13, 8, 225, 2020-09-04T20:35:04+00:00, 12, 4, WIN, r
14, 8, 225, 2020-09-04T20:39:52+00:00, 3, 1, WIN, r
15, 8, 225, 2020-09-04T20:44:40+00:00, 3, 1, WIN, r
16, 8, 225, 2020-09-04T20:49:28+00:00, 5, 4, WIN, r
17, 8, 225, 2020-09-04T20:54:17+00:00, 17, 10, WIN, r
18, 8, 225, 2020-09-04T20:59:05+00:00, 3, 5, LOSE, r
19, 8, 225, 2020-09-04T21:03:53+00:00, 6, 9, LOSE, r
20, 8, 225, 2020-09-04T21:08:41+00:00, 11, 4, WIN, r
21, 8, 225, 2020-09-04T21:13:29+00:00, 6, 3, WIN, r
22, 8, 225, 2020-09-04T21:18:17+00:00, 6, 4, WIN, r
23, 8, 225, 2020-09-04T21:23:05+00:00, 3, 1, WIN, r
24, 8, 225, 2020-09-04T21:27:54+00:00, 12, 1, WIN, r
25, 8, 225, 2020-09-04T21:32:42+00:00, 5, 7, LOSE, r
26, 8, 225, 2020-09-04T21:37:30+00:00, 15, 6, WIN, r
27, 8, 225, 2020-09-04T21:42:18+00:00, 18, 6, WIN, r
28, 8, 225, 2020-09-04T21:47:07+00:00, 5, 5, LOSE, r
29, 8, 225, 2020-09-04T21:51:55+00:00, 20, 10, WIN, r
30, 8, 225, 2020-09-04T21:56:43+00:00, 6, 7, LOSE, r
31, 8, 225, 2020-09-04T22:01:31+00:00, 6, 4, WIN, r
32, 8, 225, 2020-09-04T22:06:19+00:00, 16, 10, WIN, r
33, 8, 225, 2020-09-04T22:11:07+00:00, 8, 6, WIN, r
34, 8, 225, 2020-09-04T22:15:56+00:00, 3, 6, LOSE, r
35, 8, 225, 2020-09-04T22:20:44+00:00, 6, 7, LOSE, r
36, 8, 225, 2020-09-04T22:25:33+00:00, 7, 6, WIN, r
37, 8, 225, 2020-09-04T22:30:21+00:00, 12, 5, WIN, r
38, 8, 225, 2020-09-04T22:35:09+00:00, 8, 9, LOSE, r
39, 8, 225, 2020-09-04T22:39:57+00:00, 9, 5, WIN, r
40, 8, 225, 2020-09-04T22:44:45+00:00, 3, 0, WIN, r
41, 8, 225, 2020-09-04T22:49:34+00:00, 15, 11, WIN, r
42, 8, 225, 2020-09-04T22:54:22+00:00, 2, 0, WIN, r
43, 8, 225, 2020-09-04T22:59:10+00:00, 6, 3, WIN, r
44, 8, 225, 2020-09-04T23:03:59+00:00, 16, 8, WIN, r
45, 8, 225, 2020-09-04T23:08:47+00:00, 14, 4, WIN, r
46, 8, 225, 2020-09-04T23:13:35+00:00, 6, 4, WIN, r
47, 8, 225, 2020-09-04T23:18:23+00:00, 5, 2, WIN, r
48, 8, 225, 2020-09-04T23:23:12+00:00, 8, 3, WIN, r
49, 8, 225, 2020-09-04T23:28:00+00:00, 2, 5, LOSE, r
50, 8, 225, 2020-09-04T23:32:48+00:00, 16, 2, WIN, r
51, 8, 225, 2020-09-04T23:37:36+00:00, 6, 4, WIN, r
52, 8, 225, 2020-09-04T23:42:24+00:00, 8, 15, LOSE, r
53, 8, 225, 2020-09-04T23:47:13+00:00, 5, 4, WIN, r
54, 8, 225, 2020-09-04T23:52:01+00:00, 3, 3, LOSE, r
55, 8, 225, 2020-09-04T23:56:49+00:00, 5, 9, LOSE, r
56, 8, 225, 2020-09-05T00:01:37+00:00, 15, 12, WIN, r
57, 8, 225, 2020-09-05T00:06:25+00:00, 6, 5, WIN, r
58, 8, 225, 2020-09-05T00:11:13+00:00, 3, 11, LOSE, r
59, 8, 225, 2020-09-05T00:16:02+00:00, 15, 10, WIN, r
60, 8, 225, 2020-09-05T00:20:50+00:00, 2, 1, WIN, r
61, 8, 225, 2020-09-05T00:25:38+00:00, 3, 4, LOSE, r
62, 8, 225, 2020-09-05T00:30:26+00:00, 6, 6, LOSE, r
63, 8, 225, 2020-09-05T00:35:14+00:00, 3, 3, LOSE, r
64, 8, 225, 2020-09-05T00:40:03+00:00, 3, 5, LOSE, r
65, 8, 225, 2020-09-05T00:44:51+00:00, 12, 5, WIN, r
66, 8, 225, 2020-09-05T00:49:39+00:00, 3, 0, WIN, r
67, 8, 225, 2020-09-05T00:54:28+00:00, 3, 8, LOSE, r
68, 8, 225, 2020-09-05T00:59:16+00:00, 12, 2, WIN, r
69, 8, 225, 2020-09-05T01:04:04+00:00, 3, 3, LOSE, r
70, 8, 225, 2020-09-05T01:08:52+00:00, 3, 7, LOSE, r
71, 8, 225, 2020-09-05T01:13:40+00:00, 9, 8, WIN, r
72, 8, 225, 2020-09-05T01:18:28+00:00, 6, 3, WIN, r
73, 8, 225, 2020-09-05T01:23:17+00:00, 3, 4, LOSE, r
74, 8, 225, 2020-09-05T01:28:05+00:00, 6, 8, LOSE, r
75, 8, 225, 2020-09-05T01:32:53+00:00, 2, 8, LOSE, r
76, 8, 225, 2020-09-05T01:37:42+00:00, 3, 5, LOSE, r
77, 8, 225, 2020-09-05T01:42:30+00:00, 3, 9, LOSE, r
78, 8, 225, 2020-09-05T01:47:18+00:00, 3, 0, WIN, r
79, 8, 225, 2020-09-05T01:52:06+00:00, 17, 13, WIN, r
80, 8, 225, 2020-09-05T01:56:55+00:00, 3, 3, LOSE, r
81, 8, 225, 2020-09-05T02:01:43+00:00, 3, 0, WIN, r
82, 8, 225, 2020-09-05T02:06:31+00:00, 8, 5, WIN, r
83, 8, 225, 2020-09-05T02:11:19+00:00, 16, 5, WIN, r
84, 8, 225, 2020-09-05T02:16:07+00:00, 16, 15, WIN, r
85, 8, 225, 2020-09-05T02:20:56+00:00, 3, 5, LOSE, r
86, 8, 225, 2020-09-05T02:25:44+00:00, 3, 1, WIN, r
